UserID,AppID,Date,UsedMinutes,ConsumedData
23,21,1/7/2024,117,218MB
15,6,24-07-2024,107,504MB
4,1,29-06-2024,50,797MB
1,18,15-05-2024,53,220MB
19,13,29-03-2024,76,908MB
19,3,1/1/2024,107,258MB
18,11,28-04-2024,80,260MB
16,20,20-07-2024,51,289MB
16,22,5/4/2024,89,583MB
23,8,20-02-2024,43,665MB
10,21,30-03-2024,145,405MB
16,5,28-05-2024,81,728MB
19,2,29-01-2024,78,185MB
14,14,21-02-2024,132,724MB
10,7,5/6/2024,84,296MB
4,17,23-04-2024,136,713MB
2,4,19-04-2024,77,411MB
8,23,3/7/2024,66,969MB
20,13,5/2/2024,86,341MB
20,23,9/3/2024,88,405MB
9,9,2/2/2024,79,779MB
15,22,15-07-2024,22,927MB
4,8,18-07-2024,79,259MB
11,23,27-05-2024,127,423MB
17,23,17-04-2024,107,395MB
14,14,29-05-2024,63,862MB
10,6,28-07-2024,141,918MB
15,5,12/5/2024,129,326MB
3,4,18-02-2024,117,819MB
13,8,3/6/2024,11,474MB
1,25,30-03-2024,136,494MB
2,3,10/3/2024,33,678MB
8,2,21-03-2024,63,407MB
10,8,21-07-2024,72,427MB
16,24,5/2/2024,106,156MB
17,3,13-03-2024,41,692MB
9,11,23-01-2024,99,624MB
5,16,16-01-2024,15,832MB
12,6,1/1/2024,139,635MB
15,17,24-01-2024,144,970MB
20,23,27-01-2024,56,682MB
13,1,12/7/2024,64,527MB
10,17,19-05-2024,24,356MB
21,7,23-06-2024,25,166MB
1,1,14-06-2024,104,184MB
19,16,10/3/2024,119,457MB
7,21,20-02-2024,37,781MB
17,1,31-01-2024,102,410MB
1,23,12/2/2024,50,350MB
17,19,27-07-2024,54,435MB
8,20,26-03-2024,15,619MB
16,14,20-04-2024,117,795MB
24,16,25-04-2024,146,210MB
8,25,12/2/2024,75,895MB
7,18,5/1/2024,75,970MB
12,21,4/5/2024,99,510MB
6,7,13-05-2024,45,241MB
21,21,29-01-2024,64,534MB
24,20,21-04-2024,91,942MB
11,14,8/4/2024,138,712MB
4,21,9/1/2024,127,215MB
5,24,15-06-2024,95,587MB
8,9,19-07-2024,108,453MB
15,21,15-03-2024,63,738MB
5,18,18-04-2024,134,982MB
5,19,3/1/2024,51,725MB
16,16,1/8/2024,74,452MB
19,25,19-05-2024,91,746MB
13,24,28-04-2024,127,988MB
20,9,12/2/2024,122,298MB
5,15,16-06-2024,70,607MB
4,13,9/5/2024,85,141MB
16,16,27-01-2024,147,174MB
14,23,5/7/2024,69,306MB
1,12,4/4/2024,86,764MB
24,24,22-05-2024,18,840MB
14,18,1/3/2024,123,780MB
5,8,22-04-2024,93,872MB
24,3,10/3/2024,135,886MB
22,6,31-07-2024,27,702MB
22,10,10/2/2024,140,896MB
3,3,13-03-2024,77,437MB
17,10,25-02-2024,93,154MB
1,23,1/7/2024,112,603MB
4,19,19-06-2024,97,270MB
14,4,18-07-2024,92,882MB
11,10,2/2/2024,46,738MB
15,19,13-01-2024,48,314MB
6,8,30-03-2024,111,820MB
22,17,7/2/2024,111,402MB
7,1,7/5/2024,13,365MB
23,16,7/6/2024,28,364MB
19,19,1/8/2024,11,592MB
16,22,4/3/2024,69,657MB
10,15,1/1/2024,10,918MB
2,21,18-06-2024,146,214MB
11,15,8/1/2024,82,788MB
16,19,24-03-2024,13,492MB
5,5,1/4/2024,71,166MB
9,6,3/7/2024,138,136MB
1,10,12/2/2024,70,814MB
24,24,7/3/2024,139,320MB
23,3,22-05-2024,49,547MB
12,6,22-01-2024,116,795MB
14,17,29-03-2024,13,472MB
25,9,6/5/2024,97,185MB
13,23,11/2/2024,11,553MB
10,17,23-01-2024,74,817MB
10,16,31-01-2024,110,666MB
1,23,18-06-2024,17,150MB
22,20,29-06-2024,36,468MB
7,6,2/7/2024,30,687MB
12,3,3/6/2024,79,123MB
18,16,17-04-2024,123,318MB
20,7,11/5/2024,88,548MB
12,16,6/6/2024,37,677MB
8,25,15-06-2024,102,124MB
13,14,24-06-2024,106,224MB
6,11,29-07-2024,65,543MB
16,20,23-01-2024,70,525MB
14,9,31-07-2024,73,706MB
13,9,13-04-2024,10,991MB
12,13,25-05-2024,80,721MB
18,8,17-03-2024,32,644MB
23,9,3/7/2024,30,759MB
25,21,19-01-2024,23,556MB
12,2,30-01-2024,131,321MB
25,11,19-05-2024,12,445MB
4,17,22-05-2024,72,333MB
1,10,8/1/2024,64,950MB
13,24,5/6/2024,76,988MB
1,24,22-07-2024,108,700MB
5,22,10/2/2024,93,148MB
4,12,26-01-2024,89,526MB
15,21,16-01-2024,133,186MB
19,7,21-07-2024,53,213MB
18,8,4/1/2024,18,943MB
2,8,9/1/2024,109,308MB
19,21,8/4/2024,77,836MB
7,8,23-05-2024,58,114MB
16,11,28-06-2024,78,253MB
13,6,25-01-2024,14,708MB
2,24,2/2/2024,26,314MB
23,18,10/2/2024,70,898MB
23,9,23-06-2024,103,661MB
10,10,4/1/2024,55,269MB
23,6,3/2/2024,55,916MB
24,1,6/2/2024,72,298MB
24,21,4/2/2024,144,588MB
11,9,2/2/2024,31,971MB
19,15,18-01-2024,16,916MB
11,21,14-01-2024,36,366MB
4,12,21-04-2024,64,374MB
19,14,7/4/2024,13,649MB
17,23,28-02-2024,84,340MB
5,1,2/7/2024,149,500MB
19,8,5/1/2024,57,100MB
25,5,1/6/2024,149,554MB
19,18,27-05-2024,81,646MB
14,7,14-06-2024,90,464MB
4,24,25-01-2024,86,216MB
15,2,14-05-2024,124,705MB
13,22,20-01-2024,65,334MB
6,8,19-01-2024,15,896MB
4,10,17-05-2024,49,381MB
8,23,21-07-2024,36,932MB
10,1,20-06-2024,141,453MB
1,16,22-05-2024,99,321MB
21,24,5/6/2024,140,404MB
9,20,13-03-2024,115,881MB
21,3,13-07-2024,62,700MB
22,20,29-07-2024,41,695MB
19,1,17-05-2024,83,204MB
1,22,16-02-2024,97,242MB
16,12,21-07-2024,136,191MB
14,7,17-02-2024,41,846MB
1,3,20-04-2024,78,691MB
13,5,26-02-2024,85,505MB
10,7,23-02-2024,34,120MB
12,25,21-02-2024,26,205MB
23,19,8/7/2024,52,777MB
5,1,14-02-2024,141,195MB
11,5,2/1/2024,147,564MB
8,23,17-01-2024,127,467MB
17,23,29-04-2024,121,769MB
25,10,5/1/2024,74,910MB
12,13,10/6/2024,32,855MB
5,7,8/1/2024,89,430MB
13,3,1/8/2024,27,733MB
17,3,17-06-2024,111,884MB
3,14,8/2/2024,60,184MB
9,16,15-06-2024,20,937MB
5,17,10/5/2024,108,962MB
4,6,14-05-2024,140,866MB
23,7,28-05-2024,60,136MB
4,1,15-02-2024,126,216MB
3,19,24-04-2024,137,951MB
9,7,25-07-2024,143,871MB
19,13,31-05-2024,28,914MB
20,20,26-05-2024,61,184MB
9,23,12/6/2024,134,546MB
13,8,27-07-2024,93,389MB
5,17,10/4/2024,21,206MB
2,24,6/4/2024,45,244MB
10,20,3/4/2024,83,877MB
24,7,28-01-2024,30,344MB
18,17,26-07-2024,109,600MB
21,16,5/1/2024,13,547MB
2,18,17-06-2024,79,237MB
9,25,5/5/2024,69,106MB
15,14,19-05-2024,58,884MB
19,2,19-03-2024,42,798MB
21,16,12/7/2024,116,503MB
4,14,23-04-2024,35,371MB
19,2,4/2/2024,132,941MB
19,21,4/2/2024,15,859MB
9,21,2/5/2024,10,389MB
15,21,4/7/2024,35,309MB
6,25,26-03-2024,134,328MB
11,9,2/2/2024,60,466MB
20,19,4/7/2024,52,395MB
15,23,5/4/2024,16,313MB
1,9,19-07-2024,57,327MB
19,9,5/6/2024,43,146MB
